n_inventario,autore,titolo,casa_editrice,anno,isbn,generi,ripetuti,checked_isbn,isbn_type,authenticity,matched_title
A1259-3,Giorgio Scianna,La regola dei pesci,Einaudi,2017,9788806236619,"Narrativa, Biografia, Memorie",FALSE,9788858425244,ISBN-13,found-isbn-by-title,
A1259-30,Giacomo Mazzariol,Mio fratello rincorre i dinosauri,Einaudi,2016,9788806229529,"Saggistica, Reportage, Attualità",FALSE,8806239066,ISBN-10,found-isbn-by-title,
A1259-31,Åsne Seierstad,Il libraio di Kabul,Rizzoli,2002,9788817107108,"Fantascienza, Racconti, Classico",FALSE,9788858682333,ISBN-13,found-isbn-by-title,
A1259-32,Ray Bradbury,Cronache marziane,Mondadori,1989,9788804320092,"Giallo, Thriller, Romanzo Storico",FALSE,9788852074080,ISBN-13,found-isbn-by-title,
A1259-33,Lindsey Davis,Le miniere dell'imperatore,Il Saggiatore,2010,9788842816361,"Giallo, Thriller",FALSE,8856501279,ISBN-10,found-isbn-by-title,
A1259-34,Andrea Camilleri,La pazienza del ragno,Sellerio,2004,9788838919670,"Ragazzi, Narrativa",FALSE,9788838926815,ISBN-13,found-isbn-by-title,
A1259-35,Enrico Galiano,Eppure cadiamo felici,Garzanti,2017,9788811672329,"Ragazzi, Narrativa",FALSE,8811602254,ISBN-10,found-isbn-by-title,
A1259-4,Giorgio Scianna,La regola dei pesci,Einaudi,2017,9788806236619,"Ragazzi, Narrativa",FALSE,9788858425244,ISBN-13,found-isbn-by-title,
A1259-5,Giorgio Scianna,La regola dei pesci,Einaudi,2017,9788806236619,"Ragazzi, Narrativa",FALSE,9788858425244,ISBN-13,found-isbn-by-title,
A1259-6,Giorgio Scianna,La regola dei pesci,Einaudi,2017,9788806236619,"Ragazzi, Narrativa",FALSE,9788858425244,ISBN-13,found-isbn-by-title,
A1259-7,Giorgio Scianna,La regola dei pesci,Einaudi,2017,9788806236619,"Ragazzi, Narrativa",FALSE,9788858425244,ISBN-13,found-isbn-by-title,
A1259-8,Giorgio Scianna,La regola dei pesci,Einaudi,2017,9788806236619,"Ragazzi, Narrativa",FALSE,9788858425244,ISBN-13,found-isbn-by-title,
A1259-9,Giorgio Scianna,La regola dei pesci,Einaudi,2017,9788806236619,"Ragazzi, Classico",FALSE,9788858425244,ISBN-13,found-isbn-by-title,
A126,Ferenc Molnar,I ragazzi della via Pàl,Einaudi,2016,9788806217458,"Narrativa, Giallo, Racconti",FALSE,9788809996175,ISBN-13,found-isbn-by-title,
A1657,Giancarlo De Cataldo,Un fitto mistero,Contrasto,2017,9788869656828,"Ragazzi, Giallo, Thriller",FALSE,8869655970,ISBN-10,corrected-isbn-by-title,Boîte noire
A1260,Lemony Snicket,Quando l'hai vista l'ultima volta?,Salani,2013,9788867152635,"Ragazzi, Narrativa",FALSE,8867157779,ISBN-10,found-isbn-by-title,
A1261,Aidan Chambers,Quando eravamo in tre,Rizzoli,2019,9788817109864,"Ragazzi, Fantasy",FALSE,9788858674864,ISBN-13,corrected-isbn-by-title,Una storia disonesta
A1640,Rick Riordan,Percy Jackson e gli dei dell'Olimpo: Le storie segrete,Mondadori,2013,9788804631622,"Narrativa, Romanzo",FALSE,9788852066009,ISBN-13,found-isbn-by-title,
A1262,Michela Marzano,Idda,Einaudi,2019,9788806242305,"Giallo, Thriller, Romanzo Storico",FALSE,8806239910,ISBN-10,corrected-isbn-by-title,Miss Islanda
A1633,Carlo A. Martigli,L'apprendista di Michelangelo,Mondadori,2017,9788804680873,"Narrativa, Romanzo",FALSE,9788852079719,ISBN-13,found-isbn-by-title,
A1635,Francesco D'Isa,La stanza di Therese,Tunué,2017,9788867902347,"Ragazzi, Fantascienza",FALSE,886790101X,ISBN-10,corrected-isbn-by-title,Sabine nel mondo della magia
A1263,Luigi Ballerini,Il mistero del bosco,Edizioni Lapis,2016,9788878744577,"Ragazzi, Narrativa",FALSE,9788866521440,ISBN-13,found-isbn-by-title,
A1264,Jay Asher,Tredici,Mondadori,2019,9788804705307,"Ragazzi, Fantasy",FALSE,9788845989124,ISBN-13,corrected-isbn-by-title,Giuro che non avrò più fame. L'Italia della Ricostruzione
A1641,Rick Riordan,Percy Jackson racconta gli Dei Greci,Mondadori,2014,9788804646541,"Ragazzi, Narrativa, Rosa",FALSE,9788852059131,ISBN-13,found-isbn-by-title,
A1687,Siobhan Vivian,"Noi, gli unici al mondo",Newton Compton,2017,9788822700889,"Ragazzi, Giallo, Thriller",FALSE,8822702999,ISBN-10,corrected-isbn-by-title,Mille notti di te e di me
A1265,Lemony Snicket,Chi sarà mai a quest'ora?,Salani,2013,9788862568608,"Ragazzi, Narrativa",FALSE,9788867156443,ISBN-13,found-isbn-by-title,
A1636,Gabriele Caruso,Un sogno che fa male,Mondadori,2019,9788804707936,"Ragazzi, Giallo, Thriller",FALSE,8804709456,ISBN-10,corrected-isbn-by-title,Vita di un uomo
A1266,Robin Stevens,Omicidi per signorine,Mondadori,2014,9788804659909,"Ragazzi, Narrativa, Rosa",FALSE,9788852072659,ISBN-13,found-isbn-by-title,
A1267,Morgane Bicail,Phoneplay,Newton Compton,2017,9788822711670,"Ragazzi, Romanzo Storico",FALSE,8822702689,ISBN-10,corrected-isbn-by-title,La corte dei leoni
A1632,Paul Dowswell,L'ultima alba di guerra,Feltrinelli,-,9788807921678,"Ragazzi, Fantascienza, Distopico",FALSE,9788858826324,ISBN-13,found-isbn-by-title,
A1629,Veronica Roth,Divergent,De Agostini,2014,9788841896891,"Ragazzi, Fantasy",FALSE,9788851135980,ISBN-13,corrected-isbn-by-title,Una mattina mi son svegliato. 5 storie dell'8 settembre 1943
A1268,Silvana De Mari,L'ultimo elfo,Salani,-,9788862561951,"Narrativa, Fantasy",FALSE,8838306133,ISBN-10,found-isbn-by-title,
A1269,Genki Kawamura,Se i gatti scomparissero dal mondo,Einaudi,2019,9788806240301,"Ragazzi, Romanzo Storico",FALSE,9788806240301,ISBN-13,ok,Se i gatti scomparissero dal mondo
A1555,Karl Bruckner,Il gran sole di Hiroshima,Giunti,2011,9788809810303,"Narrativa, Classico, Filosofia",FALSE,9788809813007,ISBN-13,corrected-isbn-by-title,Il gran sole di Hiroscima
A127,Voltaire,Candido,Einaudi,2014,9788806217465,"Racconto filosofico umoristico, contro l'ottimismo",FALSE,9798587178748,ISBN-13,found-isbn-by-title,
A1270,Tommaso Pincio,Hotel a zero stelle,Laterza,2011,9788842095903,Saggistica,FALSE,9788858103234,ISBN-13,corrected-isbn-by-title,L'anticittà
A1684,Geoff Rodkey,I viaggi di Egg: In fuga da Mortaria,Giunti,2012,9788809772650,"Ragazzi, Narrativa",FALSE,8809034902,ISBN-10,found-isbn-by-title,
A1271,Paolo Mieli,Lampi sulla storia,Rizzoli,2018,9788817105262,"Saggistica, Storia",FALSE,8817105252,ISBN-10,corrected-isbn-by-title,100 brani di musica classica da ascoltare una volta nella vita
A1600,Roald Dahl,Il GGG,Salani,2014,9788862560411,"Ragazzi, Fantasy",FALSE,8884519349,ISBN-10,found-isbn-by-title,
A1272,Michele Raniero,Extra Unione e la fortezza di Nugari,Il Ciliegio,2014,9788867711109,Fantasy,FALSE,9788867711109,ISBN-13,title-mismatch,Cacciatrice di calzini
A1639,Irene Adler,"Sherlock, Lupin e io: Il trio della dama nera",Piemme,2011,9788856617305,"Giallo, Thriller, Ragazzi",FALSE,9788858513538,ISBN-13,found-isbn-by-title,
A1273,Orazio Labbate,Suttaterra,Tunué,2017,9788867902408,"Fantasy, Gotico, Narrativa",FALSE,8867902490,ISBN-10,corrected-isbn-by-title,La tana di Zodor
A1631,Lauren Oliver,Il viaggio di Lili e Po,Piemme,2011,9788868361135,"Ragazzi, Fantasy",FALSE,8856621185,ISBN-10,found-isbn-by-title,
A1644,Gabbie Hanna,Adultolescence,Salani,2018,9788893674690,"Poesia, Teatro",FALSE,8893673916,ISBN-10,found-isbn-by-title,ISBN not found in the database
A1274,Chris Colfer,La terra delle storie - L'avvertimento dei Grimm,Rizzoli,2014,9788817075254,"Ragazzi, Fantasy, Fiabe",FALSE,9788858680544,ISBN-13,found-isbn-by-title,
A1638,Concita De Gregorio,Chi sono io?,Contrasto,2011,9788869653131,"Saggistica, Biografia, Testimonianze",FALSE,8809046633,ISBN-10,found-isbn-by-title,ISBN not found in the database
A1275,John Flanagan,La terra dei ghiacci - L'apprendista del ranger,Mondadori,2005,9788804550137,"Romanzo Storico, Ragazzi, Narrativa",FALSE,8804580410,ISBN-10,found-isbn-by-title,
A1276,Enti Autori,Funzioni e obiettivi,Banca d'Italia,2019,-,"Saggistica, Scienze",FALSE,9788820460310,ISBN-13,found-isbn-by-title,
A1643,Roald Dahl,Il grande ascensore di cristallo,Salani,1989,9788877820791,"Ragazzi, Fantasy",FALSE,9788867152803,ISBN-13,found-isbn-by-title,
A1645,Filelfo,L'assemblea degli animali,Einaudi,2020,9788806245948,"Narrativa, Fiabe",FALSE,8806248103,ISBN-10,corrected-isbn-by-title,Il mestiere di vivere. Diario (1935-1950)
A1277,Cornelia Funke,Cuore d'inchiostro,Mondadori,2003,9788804537757,"Ragazzi, Fantasy",FALSE,9788852054983,ISBN-13,found-isbn-by-title,
A1278,Barbara Biscotti,Giulio Cesare un tirannicidio imperfetto,Corriere della Sera,2020,-,"Saggistica, Storia",FALSE,8840470344,ISBN-10,found-isbn-by-title,
A1651,Michael Morpurgo,Il ragazzo che non uccise Hitler,Piemme,2015,9788868362620,"Romanzo Storico, Ragazzi, Guerra",FALSE,9788858515945,ISBN-13,found-isbn-by-title,
A1558,Stefania Podda,Marie Curie,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,9791256050581,ISBN-13,found-isbn-by-title,
A1279,Geronimo Stilton,Cronache del Regno della fantasia - La porta incantata,Piemme,2015,9788856649719,"Ragazzi, Fantasy",FALSE,9788858500484,ISBN-13,found-isbn-by-title,
A1637,Jules Verne,Viaggio al centro della terra,Einaudi,2014,9788883376337,"Narrativa, Ragazzi, Classici",FALSE,9788883376337,ISBN-13,ok,Viaggio al centro della terra. Ediz. ad alta leggibilità. Specifico per DSA
A128,Rita Franchini Ponti,La luna nel pozzo,Grafiche Ortolan,2009,-,"Narrativa, Locale",FALSE,9791221400632,ISBN-13,found-isbn-by-title,
A1634,Lello Gurrado,Fulmine,Marcos y Marcos,2014,9788871686950,"Ragazzi, Formazione",FALSE,0019719310,ISBN-10,corrected-isbn-by-title,Verso domani
A1280,Estelle Laure,La notte che ho dipinto il cielo,De Agostini,2015,9788851141386,"Narrativa, Ragazzi, Adolescenza",FALSE,9788851136826,ISBN-13,found-isbn-by-title,
A1281,Emiliano Gucci,Con tutto il bene che posso,Giunti,2020,9788809885424,"Romanzo, Famiglia, Adolescenza",FALSE,9788809885424,ISBN-13,title-mismatch,È successo anche a me
A1670,Carrie Firestone,Prima che te ne vai,Il Castoro,2017,9788869661760,"Narrativa, Ragazzi, Adolescenza",FALSE,9788832961102,ISBN-13,found-isbn-by-title,
A1282,D. Di Pietrantonio,L'Arminuta,Einaudi,2017,9788806232108,"Romanzo, Formazione, Famiglia",FALSE,9788806232108,ISBN-13,ok,L'arminuta
A1663,Jérome Colin,Campo di battaglia,Einaudi,2018,9788806240098,"Narrativa, Ragazzi, Adolescenza",FALSE,9788834607848,ISBN-13,found-isbn-by-title,
A1688,Katie Khan,Regalami una stella,Newton Compton,2017,9788822700872,"Fantascienza, Sentimentale, Distopico",FALSE,8822707702,ISBN-10,corrected-isbn-by-title,Bad love. Ediz. illustrata
A1682,"Barbato, Bussola, Pilliu",Bacteria,Star Comics,2021,9788822623866,"Fumetti, Graphic Novel, Fantasy, Distopico",FALSE,9789401701297,ISBN-13,found-isbn-by-title,
A1284,Tommaso Fusari,Quello che non siamo diventati,Mondadori,2019,9788804707998,"Narrativa, Ragazzi, Formazione",FALSE,9788852095931,ISBN-13,corrected-isbn-by-title,Oltre ogni ragionevole dubbio
A1648,"Vernay, Alibert, Lapière",Rose,Tunué,2020,9788867903725,"Fumetti, Graphic Novel",FALSE,9788858635049,ISBN-13,found-isbn-by-title,
A1285,Carol Swain,Quello che voleva essere,Tunué,2019,9788867903429,"Fumetti, Graphic Novel",FALSE,8867903101,ISBN-10,corrected-isbn-by-title,Nellie Bly
A1285-1,Albert Camus,La peste,Salone del Libro,-,-,"Narrativa, Classici",FALSE,9788858775882,ISBN-13,found-isbn-by-title,
A1285-2,Albert Camus,La peste,Salone del Libro,-,-,"Narrativa, Classici",FALSE,9788858775882,ISBN-13,found-isbn-by-title,
A1285-3,Albert Camus,La peste,Salone del Libro,-,-,"Narrativa, Classici",FALSE,9788858775882,ISBN-13,found-isbn-by-title,
A1286,Philippe Nessmann,Missione Marte,Electa,2017,9788891811868,"Saggistica, Scienze, Ragazzi",FALSE,9788851053680,ISBN-13,corrected-isbn-by-title,100 strade da moto in Italia
A1287,Emanuele Melilli,Maria Stuarda,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,9781547503858,ISBN-13,found-isbn-by-title,
A1288,Federica Meloni,Lucrezia Borgia,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,9788026615637,ISBN-13,found-isbn-by-title,
A1289,Gabriella Seveso,Maria Montessori,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,9788827225127,ISBN-13,found-isbn-by-title,
A129,"Dobrilla, Fuso, Oss",Medicina e scienza,Curcu & Genovese,2013,9788896737750,"Saggistica, Scienze",FALSE,8868760002,ISBN-10,corrected-isbn-by-title,I grandi sentieri delle Dolomiti. Il Brenta. Patrimonio dell'umanità
A1603,Gabriel García Márquez,Notizia di un sequestro,Mondadori,1998,9788804450703,"Saggistica, Biografia, Reportage",FALSE,8804454229,ISBN-10,found-isbn-by-title,
A1290,Stefania Podda,Marie Curie,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,9791256050581,ISBN-13,found-isbn-by-title,
A1291,Barbara Biscotti,Cleopatra,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,9788852019326,ISBN-13,found-isbn-by-title,
A1292,Filippo Danovi,Artemisia Gentileschi,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,9788855295666,ISBN-13,found-isbn-by-title,
A1293,Alberto Fabris,Elisabetta I,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,8897698719,ISBN-10,found-isbn-by-title,
A1294,Gian Luca D'Errico,Madame de Pompadour,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,8830405388,ISBN-10,found-isbn-by-title,
A1295,Alessandra Consolaro,Indira Gandhi,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,0822549638,ISBN-10,found-isbn-by-title,
A1296,Emanuele Melilli,Anna Bolena,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,9788864119939,ISBN-13,found-isbn-by-title,
A1297,Stefania De Nardis,Caterina II di Russia,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,8890506172,ISBN-10,found-isbn-by-title,
A1298,Loredana Garlati,Elisabetta d'Austria,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,8804732180,ISBN-10,found-isbn-by-title,
A1299,Denis Forasacco,Vittoria,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,9788822795113,ISBN-13,found-isbn-by-title,
A130,Alexandre Dumas,I tre moschettieri,Einaudi,2017,9788806216260,"Narrativa, Romanzo Storico, Classici",FALSE,9788851125516,ISBN-13,found-isbn-by-title,
A1602,Gabriel García Márquez,L'autunno del patriarca,Mondadori,2002,9788804508601,"Narrativa, Classici",FALSE,8804255552,ISBN-10,corrected-isbn-by-title,Il potere e la gloria
A1300,Filippo Danovi,Maria Antonietta,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,1021432989,ISBN-10,found-isbn-by-title,
A1301,Barbara Biscotti,Giovanna D'Arco,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,8816404809,ISBN-10,found-isbn-by-title,
A1302,Luca Mori,Saffo,Corriere della Sera,2020,-,"Biografia, Poesia, Teatro",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1303,Alberto Fabris,Caterina de' Medici,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,9788829705207,ISBN-13,found-isbn-by-title,
A1304,Andrea Dusio,Paolina Bonaparte,Corriere della Sera,2020,-,"Biografia, Testimonianze",FALSE,8804490632,ISBN-10,found-isbn-by-title,
A1305,Adrian Besley,Billie Eilish. La biografia,Salani,2020,9788893677943,"Biografia, Testimonianze",FALSE,9788893679084,ISBN-13,corrected-isbn-by-title,Io sono Pow3r
A1306,Carla Maria Russo,Il cavaliere del giglio,Piemme,2007,9788868366476,"Romanzo Storico, Narrativa",FALSE,9788858504369,ISBN-13,corrected-isbn-by-title,Ho sognato la cioccolata per anni
A1307,Ellis Peters,La vergine nel ghiaccio,TEA,1993,9788878193130,"Giallo, Thriller, Romanzo Storico",FALSE,9788878193130,ISBN-13,ok,La vergine nel ghiaccio
A1308,Ian Herbert,Quiet Genius - Bob Paisley,Bloomsbury Sport,2017,9781472937391,"Lingue Straniere, Biografia",FALSE,9781472937353,ISBN-13,corrected-isbn-by-title,The Blue Tit
A1309,Andrew Roberts,Napoleon the Great,Penguin Books,2014,9780141032016,"Lingue Straniere, Biografia",FALSE,9780141032016,ISBN-13,ok,Napoleon The Great
A131,Edgar Lee Masters,Antologia di Spoon River,Einaudi,2014,9788806219215,"Poesia, Teatro",FALSE,9788858827710,ISBN-13,corrected-isbn-by-title,Underworld
A1659,Roberto Saviano,Gomorra,Mondadori,2006,9788804554501,"Saggistica, Attualità, Reportage",FALSE,9788852016110,ISBN-13,found-isbn-by-title,
A1310,Disney,Il commissario Topalbano,Giunti,2019,9788852233890,"Fumetti, Graphic Novel",FALSE,1141568594,ISBN-10,found-isbn-by-title,ISBN not found in the database
A1311-1,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-10,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-11,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-12,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-13,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-14,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-15,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-16,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-17,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-18,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-19,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-2,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-20,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-21,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-22,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-23,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-24,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-25,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-3,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-4,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-5,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-6,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-7,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-8,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1311-9,Elsa Morante,L'isola di Arturo,Salone del Libro,2022,-,"Narrativa, Ragazzi, Formazione, Classici",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1312,Lucinda Riley,La sorella perduta,Giunti,2021,9788809845350,"Saga familiare, Romanzo storico, Rosa",FALSE,8809964764,ISBN-10,corrected-isbn-by-title,Potenziare la mente. Insegnare a leggere
A1313,Gisella Laterza,La Divina Commedia,Corriere della Sera,2022,9788809951754,"Ragazzi, Classici",FALSE,9788858658659,ISBN-13,corrected-isbn-by-title,Dr. Seuss. Quattro storie per diventare grandi
A1314,G. Keison Bevilacqua,Troppo facile amarti in vacanza,Bao Publishing,2021,9788832735703,"Fumetti, Graphic Novel",FALSE,9788832736014,ISBN-13,corrected-isbn-by-title,Gideon Falls 4
A1315,Pier Emilio Castoldi,Voghera nebbie mortali,Fratelli Frilli,2016,9788869431470,"Giallo, Thriller",FALSE,9788869431289,ISBN-13,corrected-isbn-by-title,Dio del Sagittario
A1316,Ellis Peters,Il sepolcro oltre le dune,TEA,2001,9788878189034,"Giallo, Thriller, Romanzo Storico",FALSE,8878184535,ISBN-10,corrected-isbn-by-title,Confesso che ho sbagliato
A1317,Paula Hawkins,Dentro l'acqua,Piemme,2017,9788856660142,"Giallo, Thriller",FALSE,8856673592,ISBN-10,corrected-isbn-by-title,Vacanze per tutti
A1318,Mario Rigoni Stern,Stagioni,Einaudi,2021,9788806250355,"Narrativa, Natura, Guerra",FALSE,9788852026454,ISBN-13,corrected-isbn-by-title,Quando non ci sono
A1319,"Ceci, Puleo",Possiamo essere tutto,Tunué,2022,9788867904396,"Fumetti, Graphic Novel",FALSE,8867903888,ISBN-10,found-isbn-by-title,ISBN not found in the database
A132,Fabio Bonacina,Giovanni Paolo II viaggi di speranza,Vaccari,2006,9788885335837,"Saggistica, Religione",FALSE,8885335837,ISBN-10,corrected-isbn-by-title,Giovanni Paolo II. Viaggi di speranza. I francobolli del mondo testimoniano le visite di papa Wojtyla
A1573,Gabriel García Márquez,Cent'anni di solitudine,Mondadori,1996,9788804415436,"Narrativa, Romanzo, Classico",FALSE,8807830094,ISBN-10,found-isbn-by-title,
A1320,P. Boccalario,L'isola del tesoro (Stevenson),Corriere della Sera,2022,-,"Ragazzi, Avventura, Classico",FALSE,9791222108766,ISBN-13,found-isbn-by-title,
A1321,Sarah Rossi,Racconti di E. A. Poe,Corriere della Sera,2022,-,"Ragazzi, Giallo, Thriller",FALSE,9788862774734,ISBN-13,found-isbn-by-title,
A1322,Roberto Piumini,I Promessi Sposi (Manzoni),Corriere della Sera,2022,-,"Ragazzi, Classico",FALSE,9786558947134,ISBN-13,found-isbn-by-title,
A1323,David Grossman,Vedi alla voce: amore,Mondadori,2014,9788804644552,"Narrativa, Romanzo Storico",FALSE,9788852010507,ISBN-13,corrected-isbn-by-title,E alla fine successe qualcosa di meraviglioso
A1324,Banana Yoshimoto,Chie-chan e io,Feltrinelli,2010,9788807722189,"Narrativa, Romanzo",FALSE,9788807942686,ISBN-13,corrected-isbn-by-title,Tutti i nomi
A1325,Joseph Roth,La Cripta dei Cappuccini,Newton Compton,2010,9788854117075,"Romanzo Storico, Classico",FALSE,9788858644515,ISBN-13,corrected-isbn-by-title,Il piacere
A1326,Siobhan Dowd,Il mistero del London Eye,Uovonero,2011,9788896918074,"Ragazzi, Giallo, Thriller",FALSE,889691809X,ISBN-10,corrected-isbn-by-title,Animali di versi
A1327,Colum McCann,Questo bacio vada al mondo intero,Rizzoli,2017,9788817094016,"Narrativa, Romanzo",FALSE,9788858680759,ISBN-13,found-isbn-by-title,ISBN not found in the database
A1328,Albert Einstein,Il significato della relatività...,Newton Compton,2015,9788854181311,"Saggistica, Scienze",FALSE,8881835851,ISBN-10,corrected-isbn-by-title,La cucina ligure di mare
A133,Nicolas Barreau,Gli ingredienti segreti dell'amore,Feltrinelli,2012,9788807019184,"Narrativa, Rosa",FALSE,9788807018589,ISBN-13,found-isbn-by-title,
A1339,Alicia Giménez Bartlett,Un Natale di pietra,La Repubblica,2020,-,"Giallo, Thriller, Racconti",FALSE,9788845976414,ISBN-13,found-isbn-by-title,
A1647,Luigi Pirandello,"Uno, nessuno e centomila",Einaudi,2014,9788806219277,"Narrativa, Classico",FALSE,9791281053311,ISBN-13,corrected-isbn-by-title,Il partigiano Johnny
A134,F. Scott Fitzgerald,Gli ultimi fuochi,Mondadori,1974,9788804117861,"Narrativa, Romanzo, Classico",FALSE,9788852038655,ISBN-13,found-isbn-by-title,
A1340,Andrea Camilleri,Capodanno,La Repubblica,2020,-,"Giallo, Thriller, Racconti",FALSE,9788838929823,ISBN-13,found-isbn-by-title,
A1341,Maurizio De Giovanni,Febbre,La Repubblica,2020,-,"Giallo, Thriller, Racconti",FALSE,9788823500631,ISBN-13,found-isbn-by-title,
A1342,Francesco Recami,Ottobre in giallo a Milano,La Repubblica,2020,-,"Giallo, Thriller, Racconti",FALSE,9788838943157,ISBN-13,found-isbn-by-title,
A1343,Marcello Fois,Ti ho fatto male,La Repubblica,2020,-,"Giallo, Thriller, Racconti",FALSE,9788852010071,ISBN-13,found-isbn-by-title,
A1344,Alessandro Robecchi,Il tavolo,La Repubblica,2020,-,"Giallo, Thriller, Racconti",FALSE,9781326645335,ISBN-13,found-isbn-by-title,
A1345,Diego De Silva,Patrocinio gratuito,La Repubblica,2020,-,"Giallo, Thriller, Racconti",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1346,Esmahan Aykol,Rubacuori a Capodanno,La Repubblica,2020,-,"Giallo, Thriller, Racconti",FALSE,8857530310,ISBN-10,found-isbn-by-title,
A1347,Santo Piazzese,Come fu che cambiai marca di Whisky,La Repubblica,2020,-,"Giallo, Thriller, Racconti",FALSE,9788838934797,ISBN-13,found-isbn-by-title,
